Country,Life Satisfaction,Healthy Life Expect.,Access to Energy,Social Support,Democratic Quality,Employment,CO2 Emissions,Phosphorus,Nitrogen,eHANPP,Ecological Footprint,Material Footprint
Afghanistan,0.25,0.4,0.41,0.37,0.07,0.91,0.09,0.07,0.13,0.21,0.37,0.25
Albania,0.82,1.1,1.06,0.76,0.69,0.69,1.63,2.31,3.1,1.1,1.17,1.8
Algeria,0.67,0.85,1.06,0.85,0.33,0.84,1.3,1.21,0.28,0.48,0.95,0.37
Angola,0.74,0.22,0.35,0.7,0.48,0.96,0.63,0.17,0.19,2.48,0.52,0.56
Argentina,1.08,1.07,1.05,0.98,0.81,0.95,3.27,1.19,1.12,1.88,1.62,1.71
Armenia,0.37,1.0,1.06,0.67,0.6,0.51,1.7,2.36,2.84,0.73,1.08,0.74
Australia,1.25,1.26,1.06,1.11,1.14,1.04,11.8,9.61,5.54,2.65,4.84,4.85
Austria,1.27,1.22,1.06,1.07,1.17,1.07,7.7,6.2,7.9,1.02,2.98,4.09
Azerbaijan,0.49,0.88,1.06,0.71,0.43,1.02,2.76,1.17,1.24,0.67,1.08,0.48
Bahrain,0.53,1.02,1.03,1.01,0.36,0.94,8.22,1.39,1.69,0.29,3.63,3.53
Bangladesh,0.58,0.81,0.6,0.51,0.44,1.06,0.28,0.23,0.43,0.3,0.38,0.25
Belgium,1.17,1.24,1.06,1.06,1.11,0.96,6.61,4.24,5.3,1.16,3.35,3.56
Benin,0.26,0.44,0.36,0.29,0.8,1.2,0.35,0.19,0.21,1.09,0.7,0.48
Bolivia,0.8,0.73,0.95,0.86,0.63,1.13,0.84,0.39,0.36,3.45,1.58,0.64
Bosnia and Herzegovina,0.58,1.08,1.06,0.71,0.55,0.15,5.38,1.7,2.6,1.13,1.54,1.24
Botswana,0.16,0.06,0.53,0.93,0.97,0.54,3.6,1.77,1.94,0.88,1.82,2.1
Brazil,1.15,0.94,1.05,1.03,0.79,0.97,1.84,2.01,1.11,1.89,1.66,1.97
Bulgaria,0.26,1.04,1.06,0.93,0.85,0.79,3.38,1.11,1.4,0.82,1.53,1.55
Burkina Faso,0.52,0.36,0.08,0.68,0.58,1.11,0.14,0.32,0.41,1.67,0.62,0.32
Burundi,0.22,0.27,0.0,0.2,0.26,0.96,0.1,0.1,0.18,0.83,0.44,0.23
Cambodia,0.34,0.82,0.28,0.69,0.52,1.22,0.36,0.4,0.44,1.24,0.63,0.4
Cameroon,0.42,0.31,0.53,0.73,0.44,1.09,0.17,0.08,0.11,1.34,0.65,0.23
Canada,1.26,1.23,1.06,1.04,1.15,0.94,10.77,16.2,15.16,2.12,3.82,4.5
Central African Republic,0.21,0.11,0.05,0.14,0.24,0.96,0.08,0.13,0.21,1.67,0.68,0.45
Chad,0.41,0.19,0.0,0.86,0.28,0.96,0.04,0.07,0.12,1.26,0.76,0.25
Chile,1.01,1.16,1.05,0.86,0.99,0.96,3.11,2.32,1.74,1.32,2.27,3.13
China,0.59,1.11,1.06,0.81,0.36,1.07,3.99,2.99,2.89,0.38,1.45,1.72
Colombia,0.99,0.94,1.02,1.01,0.5,0.8,1.53,0.9,0.8,1.42,0.97,1.07
Costa Rica,1.2,1.17,1.05,0.99,0.99,0.93,1.72,1.2,1.14,1.57,1.29,1.41
Croatia,0.69,1.07,1.06,0.82,0.91,0.71,4.61,3.75,4.85,0.7,1.88,2.43
Cyprus,1.05,1.25,1.06,0.91,1.01,0.93,7.85,2.38,2.89,0.79,2.09,6.01
Czech Republic,0.95,1.15,1.06,1.02,1.08,0.97,6.79,4.08,7.09,0.92,2.62,3.1
Denmark,1.36,1.18,1.06,1.1,1.19,0.94,7.29,4.87,8.23,1.19,2.49,3.77
Dominican Republic,0.69,0.91,1.03,0.95,0.73,0.66,1.76,0.88,0.78,1.05,0.74,1.19
Ecuador,0.8,1.07,1.02,0.86,0.55,1.07,1.42,0.77,0.72,1.04,1.01,1.39
Egypt,0.35,0.84,1.06,0.75,0.3,0.76,2.03,0.56,0.82,0.15,1.01,1.1
El Salvador,0.51,0.92,0.99,0.72,0.75,0.98,1.07,0.77,0.68,1.05,0.98,0.96
Estonia,0.72,1.05,1.06,1.01,1.02,0.74,8.78,5.0,8.02,1.73,3.17,2.42
Finland,1.24,1.21,1.06,1.06,1.22,0.93,9.1,7.36,10.82,1.69,2.81,4.31
France,1.13,1.27,1.06,1.04,1.03,0.87,5.4,8.07,9.82,1.13,2.42,3.18
Gabon,0.37,0.58,0.94,0.59,0.64,0.43,1.03,0.76,1.07,2.58,1.43,0.75
Georgia,0.36,0.99,1.06,0.33,0.58,0.64,1.73,1.28,3.29,0.7,0.73,0.98
Germany,1.03,1.22,1.06,1.08,1.1,1.0,6.74,5.39,8.49,0.76,2.54,3.01
Ghana,0.75,0.55,0.65,0.71,0.84,1.07,0.34,0.09,0.11,1.02,0.98,0.49
